LEAGUE,SEASON,CLUB
Bundesliga,2025,Bayer 04 Leverkusen
Bundesliga,2025,Borussia Dortmund
Bundesliga,2025,VfB Stuttgart
Bundesliga,2025,Eintracht Frankfurt
Bundesliga,2025,TSG 1899 Hoffenheim
Bundesliga,2025,SC Freiburg
Bundesliga,2025,VfL Wolfsburg
Bundesliga,2025,Hamburger SV
Bundesliga,2025,FC Augsburg
Bundesliga,2025,SV Werder Bremen
Bundesliga,2025,Borussia Mönchengladbach
Bundesliga,2025,1.FSV Mainz 05
Bundesliga,2025,1.FC Köln
Bundesliga,2025,1.FC Union Berlin
Bundesliga,2025,1.FC Heidenheim 1846
Bundesliga,2025,FC St. Pauli
Bundesliga,2026,Bayern Munich
Bundesliga,2026,Borussia Dortmund
Bundesliga,2026,RB Leipzig
Bundesliga,2026,Bayer 04 Leverkusen
Bundesliga,2026,VfB Stuttgart
Bundesliga,2026,Eintracht Frankfurt
Bundesliga,2026,TSG 1899 Hoffenheim
Bundesliga,2026,SC Freiburg
Bundesliga,2026,FC Augsburg
Bundesliga,2026,1.FSV Mainz 05
Bundesliga,2026,1.FC Köln
Bundesliga,2026,Hamburger SV
Bundesliga,2026,Borussia Mönchengladbach
Bundesliga,2026,SV Werder Bremen
Bundesliga,2026,1.FC Union Berlin
Bundesliga,2026,FC Schalke 04
Bundesliga,2026,SV 07 Elversberg
Bundesliga,2026,SC Paderborn 07
Serie A,2025,Inter Milan
Serie A,2025,Juventus FC
Serie A,2025,AC Milan
Serie A,2025,AS Roma
Serie A,2025,Atalanta BC
Serie A,2025,SSC Napoli
Serie A,2025,Como 1907
Serie A,2025,Bologna FC 1909
Serie A,2025,SS Lazio
Serie A,2025,ACF Fiorentina
Serie A,2025,US Sassuolo
Serie A,2025,Udinese Calcio
Serie A,2025,Parma Calcio 1913
Serie A,2025,Cagliari Calcio
Serie A,2025,Genoa CFC
Serie A,2025,Torino FC
Serie A,2025,US Lecce
Serie A,2025,Pisa Sporting Club
Serie A,2025,Hellas Verona
Serie A,2025,US Cremonese
Serie A,2026,Inter Milan
Serie A,2026,Juventus FC
Serie A,2026,Como 1907
Serie A,2026,AS Roma
Serie A,2026,AC Milan
Serie A,2026,Atalanta BC
Serie A,2026,SSC Napoli
Serie A,2026,ACF Fiorentina
Serie A,2026,SS Lazio
Serie A,2026,Bologna FC 1909
Serie A,2026,US Sassuolo
Serie A,2026,Torino FC
Serie A,2026,Genoa CFC
Serie A,2026,Udinese Calcio
Serie A,2026,Parma Calcio 1913
Serie A,2026,Cagliari Calcio
Serie A,2026,Venezia FC
Serie A,2026,AC Monza
Serie A,2026,Frosinone Calcio
Serie A,2026,US Lecce
Ligue 1,2025,Paris Saint-Germain
Ligue 1,2025,Olympique Marseille
Ligue 1,2025,RC Strasbourg Alsace
Ligue 1,2025,AS Monaco
Ligue 1,2025,Olympique Lyon
Ligue 1,2025,Stade Rennais FC
Ligue 1,2025,LOSC Lille
Ligue 1,2025,RC Lens
Ligue 1,2025,OGC Nice
Ligue 1,2025,FC Toulouse
Ligue 1,2025,Paris FC
Ligue 1,2025,Angers SCO
Ligue 1,2025,FC Lorient
Ligue 1,2025,FC Nantes
Ligue 1,2025,AJ Auxerre
Ligue 1,2025,Stade Brestois 29
Ligue 1,2025,FC Metz
Ligue 1,2025,Le Havre AC
Ligue 1,2026,Paris Saint-Germain
Ligue 1,2026,AS Monaco
Ligue 1,2026,RC Strasbourg Alsace
Ligue 1,2026,Olympique Lyon
Ligue 1,2026,LOSC Lille
Ligue 1,2026,Stade Rennais FC
Ligue 1,2026,RC Lens
Ligue 1,2026,Olympique Marseille
Ligue 1,2026,Paris FC
Ligue 1,2026,OGC Nice
Ligue 1,2026,FC Toulouse
Ligue 1,2026,AJ Auxerre
Ligue 1,2026,FC Lorient
Ligue 1,2026,Stade Brestois 29
Ligue 1,2026,Angers SCO
Ligue 1,2026,Le Havre AC
Ligue 1,2026,ESTAC Troyes
Ligue 1,2026,Le Mans FC
